Model,Atelectasis,Cardiomegaly,Effusion,Infiltration,Mass,Nodule,Pneumonia,Pneumothorax,Consolidation,Edema,Emphysema,Fibrosis,Pleural_Thickening,Hernia,Mean
Local,0.7776912731487626,0.8334033533715882,0.8506545927686976,0.6701745479684038,0.7690273739852748,0.6840994463105158,0.7038342744828877,0.84032397840144,0.7961898484013985,0.8738002541065432,0.8123284058598743,0.7513715406273606,0.7643052784031261,0.8257411116784276,0.7823532342510215
Fusion,0.8012254576664101,0.9015294349819353,0.8720815981432258,0.6876703032128301,0.8240323201812347,0.7325180520490879,0.7456000184477067,0.8726930241687592,0.807114891453607,0.9013957709411018,0.864726619534312,0.7748564147115924,0.7904804460080632,0.8670406591344496,0.8173546436167368
Global,0.7996358134472965,0.8972105838418799,0.8713004312284631,0.6901733167927087,0.8260585236926562,0.7289087189097618,0.736330045753026,0.8730058736824953,0.8064168766318511,0.8986834104728197,0.8687909555479486,0.7710336505707985,0.7873800148894051,0.830437837389646,0.8132404323464826
Local,0.7812931454003309,0.8253931748489541,0.8472548520609114,0.6689912782565863,0.7630187653388711,0.6793583705120589,0.7117949347480192,0.8459244383707752,0.8007559162000082,0.8715332607314639,0.8291773785654905,0.7576719617091363,0.7619342001306539,0.8556572361214756,0.7856970652139096
Fusion,0.8021153080455498,0.8970341105747337,0.8717171341505061,0.68787197151514,0.8258368132905419,0.7316670916982261,0.744378536093074,0.8742926397499426,0.8090891041568538,0.8972102731645341,0.8710666518795891,0.7739042663007045,0.7907349636339667,0.864105887435686,0.8172160536920748
Global,0.800972048947522,0.8948750645171084,0.8729681005706986,0.6908912333289062,0.8278646026052484,0.7390474904321755,0.7431034740016196,0.8767350695138841,0.8058282056969308,0.9010953807060532,0.8685981850317515,0.776644622459802,0.7761330371313212,0.8363510205150361,0.8150791096755755
Local,0.7799413815376175,0.8279503294167653,0.8506106964743557,0.6688790129137728,0.7701249008872947,0.6730552652796794,0.7140123898054715,0.8459805457413949,0.8044978031535899,0.8707850077139487,0.8292048860230679,0.7528605328760987,0.7618983892280806,0.8401607687574462,0.7849972792720417
Fusion,0.8036644723453579,0.8932615675380271,0.8735874827416612,0.6910073494618426,0.8278518406645271,0.7397172612135271,0.7538194213659714,0.8776268619129094,0.808625976203115,0.9025201923949542,0.8726505138218424,0.7749539731349172,0.7807904370764029,0.8639771502384912,0.8188610357223963
Global,0.7951962059476726,0.8953096062179312,0.872846625567884,0.685530206405582,0.8371661695299225,0.7401706196652516,0.7526956033417478,0.8758599426704886,0.8111218828165823,0.9043747163989473,0.875773265196342,0.777911246905654,0.7820189121217799,0.8348454499037744,0.8172014609063972
Local,0.7758565816367159,0.8422120259890092,0.8528904189437381,0.6727611748582936,0.7775612610911836,0.68908431282856,0.7167903974260023,0.8451988385959455,0.8046412066746915,0.8754641982031037,0.8338388010590808,0.7546716314275468,0.7633092644415828,0.8425805916674304,0.7890614789173488
Fusion,0.7970243941284207,0.8962416886783859,0.8733271847333833,0.684622066223034,0.8374992637341891,0.7392424461022555,0.7567167965014466,0.8753429401002896,0.8134063704807643,0.9037870950176967,0.8771551874698729,0.7758709678122606,0.7846876297990326,0.8585832798746666,0.819536236475407
Global,0.7999074049496102,0.8950955612229409,0.8753647758669245,0.6868312079664716,0.8293408344345856,0.7386219718039497,0.7355283843742496,0.8750790688028206,0.8103027901486246,0.9035620292222524,0.8666241974808406,0.7820621125595298,0.773731600135214,0.8314306411985215,0.8145344700118954
Local,0.7797558375140464,0.8479221695965025,0.8516393355707188,0.6710065879209708,0.7752058146120445,0.686590802891281,0.7117057482240691,0.8524546511714034,0.8009056539823604,0.874621562755241,0.8400829939291476,0.7545890610301517,0.7573458198144079,0.8484304971874196,0.7894468954428401
Fusion,0.8017473168228351,0.8962720496705833,0.8755950169987036,0.6877097805437401,0.831378516141212,0.7383656454732292,0.7540398443339088,0.8770107918731346,0.8137918258539207,0.9042081858607858,0.8705878911298491,0.7844146876113883,0.7793537879261002,0.8585985537794185,0.8195052781442005
Global,0.800016545890514,0.8976276679721893,0.8752285648079275,0.6945408398643272,0.8353252029450632,0.7416618959565809,0.7413706103613716,0.8763499100059996,0.811103399234572,0.9050748706779199,0.868408689212885,0.7809404632008536,0.7825508713077597,0.833837372190147,0.8174312074020077
Local,0.7821623797768518,0.846213225248201,0.8539926603524617,0.6710928671626053,0.7752344345856144,0.6907854644743856,0.7132941500422534,0.8455304831529751,0.8006404457326185,0.875101188855613,0.8400668387556499,0.7613786367763644,0.772191483498237,0.8291810132272015,0.7897760908315021
Fusion,0.8019893115316893,0.8994459118924006,0.8751375755086434,0.6931607220700038,0.8336530111383802,0.7413221270609544,0.7533121094274565,0.8752570199023769,0.8137608814301057,0.903590162446683,0.8709064100235429,0.7836263174474793,0.787069612429382,0.8608481817507386,0.8209342395757026
Global,0.7968334970226245,0.8985434313993381,0.8779761765532348,0.6944109093584325,0.8401898433075325,0.742102026646864,0.7542704406695974,0.8742100526631558,0.8098787061658737,0.9102881386695708,0.8709952634777809,0.789047077661955,0.7795047141521714,0.857666845589551,0.821136937381263
Local,0.7814409966465815,0.8557372787442693,0.8537547393183863,0.6749079230302995,0.7912151028884274,0.6836672368959797,0.7201292967218698,0.8488358183528505,0.804917214320664,0.8828666394409657,0.8401921505068358,0.7691732277885631,0.7605271662250401,0.8430529917215436,0.793601270185877
Fusion,0.7977068457515992,0.8978751100585968,0.8780148489546444,0.6940824881252943,0.8422408155559752,0.7413442758708098,0.7664025208248837,0.8754525624217644,0.811450745199876,0.9098566113077412,0.8750004366263108,0.794145731573721,0.7822223775267131,0.8786662826370615,0.8246044037453564
Global,0.8047031030180767,0.9001945001062635,0.877396948186155,0.6967569561157495,0.8401277704360959,0.7449871398472778,0.7550734584974071,0.8769057988726677,0.8090392607896352,0.9098579725927941,0.8690749809630928,0.7889435240282582,0.7775335036395772,0.8622795648246337,0.8223481772798348
Local,0.7805691520894716,0.8499848195039015,0.8517251399613464,0.674701111364958,0.7910345478572776,0.6887228565566167,0.7220513850022856,0.8446868356924354,0.8032684372692149,0.8834912423994918,0.839266939354352,0.7579439262523722,0.7637729474776734,0.8515310998520613,0.7930536029023898
Fusion,0.8046940779868872,0.9005491544463673,0.8770219194547442,0.6954546889105538,0.8407521238436851,0.7444088098121688,0.7659515015212575,0.8780344273344742,0.811426965760099,0.9085760958344677,0.8737927282507703,0.7911966330898551,0.7818818641693704,0.8840776088920309,0.8255584713790524
Global,0.806594599138198,0.89833128396636,0.878184976333426,0.695390410336964,0.8386164243911648,0.7423472785726568,0.7548961027862819,0.8768706160330052,0.8104027884041067,0.9119579816680279,0.8726788945320414,0.7921694922274823,0.7752262406433174,0.8491156409148632,0.8216273378534211
Local,0.7819716153921022,0.8490755077875946,0.852356139446442,0.6709515189293532,0.7952000000000001,0.6911681466891068,0.7327110397317487,0.8480921642260886,0.8024726048392926,0.883689990017243,0.8382578959502035,0.7722103468610713,0.7669282721251899,0.8505884817302278,0.7954052659804045
Fusion,0.807444235040126,0.8984637337948204,0.8775835269292461,0.6942948740113029,0.8397131961487634,0.740211456533422,0.76548623950278,0.877790739876601,0.8131814522861907,0.9110250476449769,0.8778070705518257,0.7949479997253104,0.7794648141153939,0.8760282610877639,0.8252459033748947
Global,0.805333085587379,0.899919163858275,0.8776425101382508,0.696176106165045,0.8422260147253162,0.741835241155934,0.7556831823379484,0.8790169544252605,0.8123515602220025,0.9101792358653236,0.8723745659934472,0.7917318418703311,0.782775401949501,0.85375890795945,0.8229288408752474
Local,0.782245905555703,0.8539511036220664,0.8528540855988654,0.6720597386266779,0.794635303001699,0.6903520245704131,0.7228259174003926,0.8496198401588041,0.806954354275024,0.8854487703058354,0.8337850960228583,0.7591854798184867,0.7673879899402343,0.8444112782512688,0.7939797776534521
Fusion,0.8058491934984383,0.9004607280565929,0.8769600124250683,0.6952423568817497,0.8427581649990561,0.7423583529775845,0.7627658809661715,0.8788892777518535,0.8150250338311855,0.90956529630638,0.8774136702458382,0.7930104567369269,0.7845510774992539,0.8774945559439492,0.8258817184371462
Global,0.8062716003503835,0.9002436469623829,0.8772108372543718,0.6958888856933615,0.8399734189163678,0.7457598103077484,0.7542656930979803,0.8755016332244517,0.810178908613017,0.9096124875215537,0.8716571889648813,0.7876256677846826,0.7764399700229289,0.8514089086140458,0.8215741898091542
Local,0.7829117228076694,0.8482694234447583,0.8546493894594627,0.6753704487026824,0.798276005286011,0.6968760026566266,0.7255774742647708,0.8484891747957545,0.8063730560048382,0.8831150739631546,0.8405043383190236,0.7660761566123356,0.7751727101591938,0.8383628119695046,0.7957159848889848
Fusion,0.8075362549659791,0.900376855815648,0.876710980872443,0.694728397579054,0.8402263922975268,0.7447316594780448,0.7623223221322293,0.8761614040545446,0.812727254602412,0.9086244214538525,0.8762622866643844,0.7905088189544571,0.7800685190196784,0.8731262191848972,0.8245794133625107
Global,0.8060422141409852,0.9008736375504751,0.8774379596441015,0.6971895102538193,0.8443407966773645,0.7471583384578091,0.7530693050504667,0.8776723218452104,0.8115868798965916,0.9103779834830746,0.8733006503985524,0.7916549941737454,0.7795894707520339,0.8594975321733894,0.8235565424641157
Local,0.782484184075244,0.8531806934450618,0.8530759061271117,0.6751795518412754,0.7923232773267886,0.6970866470670207,0.7239456660775156,0.8505149656689555,0.8083835089896666,0.8838549323895091,0.8390822464249038,0.7683178202723133,0.7710226106817109,0.8557117857813038,0.7967259854405987
Fusion,0.8068847715870783,0.9019195737316695,0.8767652469840984,0.6958113313188584,0.8439481970926941,0.7466508384708831,0.7615749187147918,0.8778972142597902,0.8141387564578313,0.9095575823577456,0.8777730136995872,0.7977341374908845,0.7833517220459351,0.8773898205970787,0.8265283660577805
Global,0.8068219502915439,0.8980967453016364,0.8780800696477474,0.6944037194216297,0.846622012459883,0.7497082201923931,0.754276544690248,0.8773083646275434,0.8116234316992185,0.9114425083945912,0.878393459687166,0.7950112219437779,0.7780621171702994,0.8643109941566405,0.8245829542631655
Local,0.7824214070200585,0.8476895284937911,0.8542248117137456,0.6738092629867761,0.7980058146120445,0.696729189885746,0.724827357949266,0.853684198831189,0.806689665227024,0.8861108086033215,0.8419530644180991,0.7717465355859338,0.7732468518623157,0.84922474023452,0.7971688026731308
Fusion,0.8075359895238854,0.8979062300755989,0.8775070397804905,0.6939694687816176,0.8465614498772889,0.7484120533823232,0.7623989615026201,0.8785817982504871,0.8149610681765884,0.9106121245122062,0.883381478661199,0.8008745376875275,0.7824493864316084,0.8838855940894352,0.8277883700523482
Global,0.806476256204709,0.90030019431035,0.8779812055247892,0.6947112440594156,0.8427141400792901,0.7472454724910244,0.7526237115429744,0.8763556503640497,0.8102313479889447,0.9077330066249206,0.875995507988515,0.7939533398226944,0.776411593909817,0.8603594167986769,0.8230780062650123
Local,0.7833822631592919,0.8528875201141572,0.8530612480394809,0.6760583398473622,0.7908752878988106,0.6966781245741352,0.7184174580416403,0.8508035575406083,0.8083107169054579,0.8825864416008712,0.8415566077279365,0.7633799470023404,0.769670965957586,0.8515900134846759,0.7956613208495967
Fusion,0.8074782116281334,0.9003787533776603,0.8774047450412782,0.6941781115919122,0.8418303190485179,0.7469210078077632,0.7580746019839424,0.877737410098586,0.812867439072714,0.9071149832108177,0.8799674975374276,0.7969163362942404,0.7804524019822141,0.8782255213856486,0.8256819528614897
Global,0.8066462276254434,0.8997468652275555,0.8780088453761998,0.69387433002984,0.8438223900320936,0.7458211040627993,0.7507891142252167,0.8781049781866396,0.8115557277920801,0.9084431436609492,0.8756632353660325,0.793098204816007,0.7736898414010711,0.856536576637908,0.8225571846028453
Local,0.7831491165202312,0.8545063302668732,0.8526979925593052,0.6739092758155624,0.8003274306211062,0.7000207491281213,0.7144423841490792,0.8506877319289825,0.8063680716681163,0.8821900807695798,0.8423447182188439,0.7717721514847956,0.7770514814561481,0.8570144316580042,0.7976058533031963
Fusion,0.8083830152452243,0.9005362510246835,0.8773195254147848,0.6936566392091866,0.8445021710402115,0.7452286233991717,0.7557828813419079,0.8783066314097578,0.8148647043332992,0.9080347581450222,0.8799506874244636,0.7978371461054569,0.7779002865863511,0.878496087698397,0.8257713863127084
